группа,задача,кол-во,ед. изм.,"расход, $","готовность, %"
Умный дом,установить датчики температуры и влаги,3,шт,287,100%
Первый этаж,уложить стружку с известью,6,м3,197,100%
Первый этаж,смонтировать мембрану пола первого этажа,30,м2,100,100%
Первый этаж,смонтировать подшивку из фанеры,30,м2,162,100%
Первый этаж,смонтировать чистовой пол первого этажа,30,м2,631,100%
Умный дом,автоматические розетки,2,шт,134,100%
орг расход этап2,,,,241,100%
Итого общее:, ,,,1752,
