Месяц,Число,группа,задача,"расход, $"
10,25,Стены, Обшивка стен часть 1,116
10,27,Транспорт,Ялча-Минск,2
10,27,Организационные,Содержание за сентябрь,348
10,28,Инструмент, Пилки и биты,26
10,29,Инструмент, Прокат электрорубанка,6
10,29,Стены, входная дверь,93
10,29,Инструмент, Прокат шуруповерта 2 недели,11
10,29,Транспорт,Минск-Ялча,1
10,29,Стены, Дверь_врезка петель и замка,30
10,31,Стены, Обшивка стен часть 2,143
11,1,Пол, Настил чернового пола,57
11,1,Доставка, аренда прицепа,7
11,1,крыша, жесть для отливов,14
11,1,Доставка, бензин,17
11,1,Стены, Нанесение пропитки в два слоя,29
11,2,Транспорт,Ялча-Минск,2
11,2,Стены, Установка двери,29
11,4,Связь, Мобильный,17
,,,ИТОГО:,9187
