группа,задача,кол-во,ед. изм.,"план+20%, $"
Кровля веранда,закрепить верхний слой кровли,35,м2,"927,4"
Кровля веранда,смонтировать водоотливы верады,14,м,"247,3"
Кровля дома,закрепить верхний слой кровли,70,м2,"1854,7"
Кровля дома,смонтировать водоотливы дома,21,м,"399,9"
Кровля дома,переделать верхушку,10,м,"186,3"
Итого общее:, ,,,"3615,6"
