задача;да-1 нет-0;кол-во;кол-во;ед. изм.;расценки работ за единицу, $;стоимость материалов за единицу, $;скидка на работы;цена за работу, $;цена за материалы, $;доставка (0,2% от стоимости материалов за 1км);зп управляющего (20% от стоимости стройки);трудоемкость ч/ч, 5$;срок, дней;итого-план, $;расходы-факт, $;примечание
распилить дрова;1;12;12;м3;7;1,3;1;84;15,6;1,56;20,232;16,8;2,1;145,6704;81;
загрузить и сложить дрова;1;15;15;м3;2,5;0,2;1;37,5;3;0,3;8,16;7,5;0,9375;58,752;42;
вынести и занести мебель (дом 24);0;4;0;м3;3;0,2;1;0;0;0;0;0;0;0;;
демонтаж пола (дом 24);0;21;0;м2;3;7;1;0;0;0;0;0;0;0;;
монтаж лаг пола (дом 24);0;60;0;м2;2;1,5;1;0;0;0;0;0;0;0;;
укладка пола (дом 24);0;21;0;м;8;7;1;0;0;0;0;0;0;0;;
другие работы;;;;;;;;121,5;18,6;1,86;28,392;24,3;3,0375;204,4224;123;
