группа,задача,кол-во,ед. изм.,"план+20%, $"
Купол дома,смонтировать утеплитель в куполе,11,м3,"1715,3"
Купол дома,смонтировать обрешотку в куполе,120,м,"604,4"
Купол дома,обшить фанерой,55,м2,"1032,2"
Купол дома,прогрунтовать фанеру,55,м2,"277,0"
Купол дома,покрыть фанеру белой краской,55,м2,"277,0"
Купол дома,нанести пропитку на обрешетку,6,м2,"38,5"
Итого общее:, ,,,"3944,6"
