группа,задача,кол-во,ед. изм.,"план+20%, $"
Внутренние стены дома,смонтировать утеплитель в стены,11,м3,"1563,5"
Внутренние стены дома,обшить вагонкой (доской) стены,50,м2,"1159,2"
Первый этаж,закрыть подпольное простанство тканью,35,м2,"224,6"
Санузел,утеплить стены и крышу санузла,5,м3,"710,7"
Санузел,смонтировать пароизоляцию,25,м2,"70,7"
Санузел,Обшить стены вагонкой (фанерой или доской),26,м3,"602,8"
Итого общее:, ,,,"4331,5"
