Материал, Количество, Цена за еденицу, Сумма, USD
Зашивка второго этажа+шкафы,24 часа два человека,60тыс за час,2900000,181
Доска пола,35 м2,от 140тыс за м2,5000000,313
Монтаж чистового пола,24 часа два человека,60тыс за час,2900000,181
Лестница,4 метра длина,40 гр наклон + ограждение,от 6млн за метр,24000000,1300
Доставка лестницы + монтаж,,,4800000,300
Проезд и связь,,,800000,51
Организационные расходы,,,5600000,350
Общий минимальный расход на ноябрь,,,42 800 000,2676
Курс USD на ноябрь,,,,16000
