группа,задача,кол-во,ед. изм.,"план+20%, $"
Окна,установить рольставни,2,шт,1282
Санузел,установить бойлер,1,шт,526
Санузел,душевой уголок,1,шт,626
Санузел,переустановить раковину,1,шт,60
Электричество,установка серверного шкафа,1,шт,366
Электричество,заливка основания под серверный шкаф,"0,3",м3,27
Электричество,подключить автоматы,6,шт,130
Электричество,умные светильники,3,шт,274
Электричество,проложить кабель для розеток и освещения,73,м,142
Электричество,установить светильники,13,шт,505
Электричество,установить розетки,19,шт,263
Электричество,переустановить электроящик,1,шт,118
Водопровод,утеплить и звукоизолировать скважину,9,м2,343
Водопровод,Закрепить трубы водопровода,15,м,162
Водопровод,утеплить трубы,30,м,497
Водопровод,установить быстросъем и слив для насоса,2,шт,81
Итого общее:, ,0,0,5402
