Материал, Количество, Цена за еденицу, Сумма, USD
Монтаж пленки+бруски,8 часов два человека,70тыс за час,1120000,62
Монтаж треугольников,12 часов два человека,70тыс за час,3360000,93
Паропроницаемая пленка,60 м2, 2 рулона по 500тыс,1000000,55
Шурупы для крыши,,,900000,50
Шурупы для второго этажа,,,800000,44
Шурупы для полов,,,900000,50
Имитация бруса,70м2, 80тыс за м2,5600000,266
Крепления для имитации бруса,,,1000000,55
Крепления для второго этажа,,,1000000,55
Монтаж второго этажа,24 часов два человека,70тыс за час,3360000,93
Пропитка для имитации бруса, 10кг,,800000,45
Доставка имитации бруса 2т,один рейс 100км,,630000,35
Монтаж имитации бруса,24 часов два человека,70тыс за час,3360000,93
Фанера для пола,33м2 11 листов, 280тыс лист, 3080000,171
Монтаж пола,12 часов два человека,70тыс за час,3360000,93
Липкая лента для кровли,,,1000000,55
Металл-профиль для крыши, 30м,,2500000,138
Жидкая резина, 150кг, 80тыс за кг,12000000,667
Доставка жидкой резины из москвы,,,1500000,83
Аренда распылителя высокого давления,,,3000000,166
Распыление жидкой резины,,,2000000,110
Доставка материалов для крыши 2т,один рейс 100км,,630000,35
Двери, 1шт входная,,2300000,127
Окна 3штуки,,,12960000,720
Монтаж двери, 700 тыс за штуку,,700000,38
Лестница на второй этаж,,,5400000,300
Доставка окон и дверей 2т,один рейс 100км,,700000,-38
Общий минимальный расход на сентябрь,,,67266000,3737
Курс USD на сентябрь,,,,18000
-Мягкая кровля,80м2,120 тыс за м2,9600000,-533
-Подложка под мягкую кровлю,80м2,40 тыс за м2,3200000,-177
-Клей для подложки, 10 литров, 140 тыс литр, 1400000,-78
-Гвозди оцинкованые, 10 кг, 70тыс за кг,700000,-38
-Монтаж подложки,24 часа два человека,70тыс за час,3360000,-186
-Монтаж кровли,48 часа два человека,70тыс за час,6696000,-378
-Доска для подшивки пола,40 м2 1м3,от 1800тыс за м3,1800000,-100
