Материал, Количество, Цена за еденицу, Сумма, USD
Брус,50 метров 150*150,45тыс за метр,2300000,144
Доска для подшивки пола,40 м2 1м3,от 1600тыс за м3,1600000,100  
Крепления для бруса,30 штук, 50тыс штука,1500000,94
Доставка бруса и доски для подшивки,65км один рейс,5тыс за км один рейс-0.7млн,700000,43
Доска для каркаса,300 метров 50*150,20тыс за метр,6000000,375
Резка доски под углом, 300 метров с двух краев, 3тыс рез, 1800000,113
Доставка доски для каркаса,65км один рейс,5тыс за км один рейс-700тыс,700000,43
Монтаж бруса,монтаж и запил под углом 16 часов два человека,60тыс за час,1900000,119
Пропитка для бруса,работа + жидкость ведро-800тыс,10 литров,1200000,75
Монтаж пола,монтаж только низа + черновой пол 8 часов два человека,60тыс за час,960000,60
Чертежи каркаса,деталировка,,1600000,100
Чертежи на кровлю,,,1600000,100
Проезд и связь,,,800000,51
Организационные расходы,,,5600000,350
Общий минимальный расход на июль,,,28 300 000,2086 1766
Курс USD на июль,,,,16000
